CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
sdv-id-AWJoYv,191494,180225,1139049,1.0078,5.6095,5.046,10767,820,0.256,0.0628,0.0606,0.0262,5731,5659,0.5015,0.0448,0.0276,0.0004,28648,17925,0.6847,0.167,0.1314,0.0336,341,409,0.5492,0.0,0.0,0.0,511,446,0.5433,0.0616,0.0021,0.0003,27595,16376,0.568,0.1532,0.131,0.0395,6284,1285,0.6445,0.0299,0.0288,0.0076,0,3,1.0,0.1353,0.0522,0.0209,5575,2020,0.467,0.0374,0.0351,0.0074,45149,290,0.447,0.0352,0.0922,0.0066,11556,5477,0.5023,0.0572,0.0535,0.0144,146760,82953,0.5604,0.7469,0.7498,0.1892,High,1,0,0,1,0,549,0
sdv-id-MqZrHS,254424,417046,2352895,0.8015,9.1589,5.5971,8334,5446,0.7503,0.0288,0.0226,0.0024,5982,6348,0.5008,0.0526,0.0198,0.0003,13176,5378,0.4931,0.0395,0.0221,0.0056,1336,1074,0.4431,0.0005,0.0,0.0,136,150,0.5337,0.0423,0.0009,0.0003,28117,15206,0.5379,0.1121,0.0647,0.0138,8554,641,0.576,0.0283,0.02,0.004,9092,7960,1.0,0.2207,0.1073,0.0597,8908,3699,0.5484,0.0304,0.0204,0.0034,123102,108340,0.5787,0.3634,0.3331,0.1277,12361,6190,0.5009,0.0445,0.0254,0.0054,224952,89778,0.4923,0.9711,0.8193,0.1196,No,1,1,0,1,1,585,0
sdv-id-Evqdpj,289663,1164809,391824,4.2743,1.1205,0.4475,28508,11466,0.5036,0.1051,0.0279,0.0473,7,4,0.5021,0.0,0.005,0.0,16350,9178,0.5218,0.0649,0.012,0.0442,1357,1005,0.9289,0.0004,0.0,0.0,0,0,0.4465,0.0024,0.0,0.0,37037,19369,0.5486,0.1173,0.0324,0.0981,10071,6933,0.4055,0.0307,0.009,0.0236,3831,4304,1.0,0.2456,0.0699,0.0825,8211,2758,0.4484,0.0299,0.0081,0.0229,109173,49349,0.6275,0.2437,0.191,0.1101,12433,6141,0.5017,0.0464,0.0107,0.0373,231909,129873,0.5366,0.826,0.1899,0.6184,High,1,0,1,1,1,606,0
sdv-id-CHnYOs,135976,262012,587142,1.5431,5.0954,2.8511,12821,2232,0.1118,0.0885,0.0508,0.0229,6981,7947,0.5036,0.0882,0.0336,0.0008,8736,4030,0.4933,0.094,0.0452,0.0227,492,334,1.0979,0.0,0.0,0.0,0,0,0.5408,0.0023,0.0,0.0,17943,7345,0.4209,0.1353,0.0728,0.0349,4980,720,0.3338,0.038,0.02,0.0109,8232,7947,1.0,0.2635,0.1414,0.0762,6750,3638,0.5059,0.0492,0.0256,0.0123,42069,317,0.2605,0.0439,0.0674,0.0126,8431,5110,0.5025,0.0669,0.0349,0.0181,119846,52619,0.3807,0.7875,0.3968,0.2254,No,1,0,0,1,0,662,0
sdv-id-ByqsvL,205132,646284,1888055,3.9963,8.3456,2.3779,9073,1526,0.1994,0.0473,0.0162,0.0126,37412,19325,0.5003,0.222,0.0759,0.0097,14459,7886,0.5035,0.0709,0.0304,0.0106,1080,1073,0.9307,0.0001,0.0,0.0,1586,1201,0.5386,0.0637,0.003,0.0004,33485,11965,0.428,0.1374,0.0475,0.0311,5511,566,0.1331,0.0267,0.009,0.0044,0,1,1.0,0.1417,0.0375,0.0176,7900,4190,0.5588,0.0328,0.0102,0.0055,74967,31621,0.2626,0.2472,0.1875,0.0719,12762,5864,0.5003,0.0632,0.0191,0.01,194197,73681,0.4036,0.9495,0.2813,0.1406,No,1,0,0,1,0,598,0
sdv-id-dZzOpc,201833,516501,4448112,2.171,17.2323,9.2264,3576,35,0.2933,0.0167,0.0072,0.0009,193,121,0.5015,0.0022,0.0106,0.0,18890,8609,0.4932,0.0821,0.0445,0.002,984,786,0.9976,0.0,0.0,0.0,20557,9855,0.353,0.1059,0.028,0.0024,23020,8544,0.3982,0.101,0.0407,0.007,5160,2957,0.4317,0.0287,0.0111,0.0011,71343,38418,1.0,0.3499,0.2198,0.1423,5526,2961,0.5633,0.0265,0.0109,0.0012,31185,65,0.3056,0.0154,0.0402,0.0007,13009,6839,0.5016,0.0498,0.0204,0.0029,169643,71257,0.4132,0.9623,0.3366,0.0525,High,1,1,0,1,1,425,0
sdv-id-VmMDFA,171924,483670,2621985,2.6352,15.0086,4.345,15187,7003,0.3373,0.0873,0.029,0.0088,5183,5257,0.5036,0.0496,0.0224,0.0002,22387,15432,0.6724,0.12,0.0448,0.0073,798,430,0.7995,0.0,0.0,0.0,5117,2535,0.5116,0.079,0.0032,0.0006,30358,14252,0.5153,0.1586,0.0596,0.0095,11915,6595,0.5818,0.0689,0.0228,0.0037,0,0,1.0,0.0882,0.0298,0.0096,6368,2429,0.4909,0.0364,0.0124,0.0019,77525,26910,0.4511,0.2329,0.1459,0.0415,10582,5843,0.5005,0.0689,0.0237,0.0034,147113,77081,0.5275,0.881,0.2916,0.0542,High,1,0,0,1,1,480,0
sdv-id-RRqzTK,174301,544539,1713623,2.4137,8.4589,2.5622,7061,4322,0.3531,0.0383,0.0087,0.0052,300,221,0.5013,0.0064,0.0144,0.0001,24396,15918,0.7508,0.1379,0.0462,0.0261,1012,707,0.9542,0.0,0.0,0.0,0,0,0.4587,0.0049,0.0,0.0,34127,14720,0.4422,0.2024,0.0691,0.0297,3750,183,0.5841,0.0213,0.007,0.0033,73,234,1.0,0.1897,0.0822,0.0291,12518,5330,0.4867,0.0545,0.0183,0.0082,84251,28740,0.2354,0.216,0.1806,0.0596,14641,7777,0.5019,0.0794,0.0296,0.0161,172944,82586,0.4385,0.9906,0.3653,0.1266,No,1,1,0,1,1,541,0
sdv-id-pVDWBG,122781,253345,271392,1.338,3.7941,2.0991,12665,7049,0.7237,0.1051,0.0464,0.0301,3,1,0.5042,0.0,0.0059,0.0,8260,5819,0.6466,0.0821,0.051,0.0264,1201,625,0.9527,0.0001,0.0,0.0,13316,7714,0.5672,0.0995,0.0176,0.0021,22019,10296,0.5478,0.1431,0.0833,0.0744,2958,1750,0.8206,0.0291,0.012,0.0153,0,3,1.0,0.1509,0.0559,0.0338,3148,1559,0.453,0.0202,0.0086,0.0081,71557,10100,0.7183,0.1444,0.1884,0.0531,4312,2044,0.5024,0.0509,0.0195,0.0179,135989,70537,0.5987,0.9824,0.4804,0.4468,High,1,1,0,1,1,629,0
sdv-id-RRIrJV,113105,321952,363198,4.3314,4.2941,1.2664,10476,4818,0.3946,0.089,0.0194,0.0232,0,0,0.4993,0.0,0.0051,0.0,24452,12854,0.4987,0.191,0.0615,0.0464,441,373,1.03,0.0,0.0,0.0,3,5,0.4751,0.0258,0.0002,0.0,11687,5552,0.4904,0.0971,0.038,0.0255,2296,3090,0.3807,0.0258,0.0074,0.0078,0,1,1.0,0.1445,0.0432,0.0235,6201,3730,0.5235,0.054,0.0173,0.0173,26549,5,0.41,0.0092,0.0362,0.001,6153,3149,0.5004,0.0659,0.0193,0.0149,98276,49078,0.5348,0.7979,0.2365,0.2655,No,1,0,0,1,0,534,1
